Tipo Titulo,Vencimento do Titulo,Data Venda,PU,Quantidade,Valor
Tesouro Selic,07/03/2017,02/05/2011,"4655,58901","72,8","338926,87"
Tesouro Selic,07/03/2017,18/05/2011,"4680,618494",93,"435297,51"
Tesouro Selic,07/03/2015,18/05/2011,"4680,619051","472,4","2211124,43"
Tesouro Selic,07/03/2017,19/05/2011,"4682,708527","77,4","362441,63"
Tesouro Selic,07/03/2015,19/05/2011,"4682,70943","572,6","2681319,41"
Tesouro Selic,07/03/2017,09/03/2011,"4582,589281","158,6","726798,65"
Tesouro Selic,07/03/2015,10/03/2011,"4584,6","395,2","1811833,92"
Tesouro Selic,07/03/2017,10/03/2011,"4584,6",116,"531813,6"
Tesouro Selic,07/03/2017,11/03/2011,"4586,608955","26,8","122921,11"
Tesouro Selic,07/03/2015,11/03/2011,"4586,609172","123,2","565070,24"
Tesouro Selic,07/03/2015,18/02/2011,"4561,379178","211,8","966100,1"
Tesouro Selic,07/03/2017,18/02/2011,"4561,377777","25,2","114946,71"
Tesouro Selic,07/03/2015,21/02/2011,"4563,289455","319,6","1458427,3"
Tesouro Selic,07/03/2017,21/02/2011,"4563,288095",21,"95829,04"
Tesouro Selic,07/03/2015,22/02/2011,"4565,209298","253,8","1158650,11"
Tesouro Selic,07/03/2015,03/05/2011,"4657,669436","489,8","2281326,48"
Tesouro Selic,07/03/2017,03/05/2011,"4657,668986","100,6","468561,49"
Tesouro Selic,07/03/2017,04/05/2011,"4659,75","149,2","695234,7"
Tesouro Selic,07/03/2015,04/05/2011,"4659,75","434,4","2024195,4"
Tesouro Selic,07/03/2017,05/05/2011,"4661,828823",68,"317004,35"
Tesouro Selic,07/03/2015,05/05/2011,"4661,829088","469,6","2189194,93"
Tesouro Selic,07/03/2017,20/05/2011,"4684,809385","117,2","549059,65"
Tesouro Selic,07/03/2015,20/05/2011,"4684,809472","383,2","1795218,98"
Tesouro Selic,07/03/2017,23/05/2011,"4686,9","90,8","425570,52"
Tesouro Selic,07/03/2015,23/05/2011,"4686,9",275,"1288897,5"
Tesouro Selic,07/03/2015,14/03/2011,"4588,619266","346,2","1588579,98"
Tesouro Selic,07/03/2017,14/03/2011,"4588,619501","116,4","534115,3"
Tesouro Selic,07/03/2017,22/02/2011,"4565,209299","82,8","377999,32"
Tesouro Selic,07/03/2015,23/02/2011,"4567,128915","265,6","1213029,43"
Tesouro Selic,07/03/2017,23/02/2011,"4567,12948",77,"351668,96"
Tesouro Selic,07/03/2015,24/02/2011,"4569,05","271,6","1240953,98"
Tesouro Selic,07/03/2017,06/05/2011,"4663,9188",75,"349793,91"
Tesouro Selic,07/03/2015,06/05/2011,"4663,919585","593,8","2769435,44"
Tesouro Selic,07/03/2017,09/05/2011,4666,"91,2","425539,2"
Tesouro Selic,07/03/2017,24/05/2011,"4688,987962",54,"253205,34"
Tesouro Selic,07/03/2015,24/05/2011,"4688,988661",269,"1261337,94"
Tesouro Selic,07/03/2017,25/05/2011,"4691,089384",65,"304920,8"
Tesouro Selic,07/03/2015,25/05/2011,"4691,089163",299,"1402635,65"
Tesouro Selic,07/03/2017,24/02/2011,"4569,05","64,4","294246,82"
Tesouro Selic,07/03/2015,25/02/2011,"4570,969521","301,2","1376776,01"
Tesouro Selic,07/03/2017,25/02/2011,"4570,969765","110,8","506463,44"
Tesouro Selic,07/03/2017,04/05/2012,"5208,158864","72,2","376029,06"
Tesouro Selic,07/03/2017,07/05/2012,"5209,9",115,"599138,5"
Tesouro Selic,07/03/2017,24/07/2012,"5292,679752","343,11","1815971,34"
Tesouro Selic,07/03/2017,25/07/2012,"5294,258926","80,1","424070,13"
Tesouro Selic,07/03/2017,26/07/2012,"5293,408866","42,63","225658,01"
Tesouro Selic,07/03/2017,27/07/2012,5295,"91,4",483963
Tesouro Selic,07/03/2017,08/05/2012,"5211,65","51,2","266836,48"
Tesouro Selic,07/03/2017,09/05/2012,"5213,388624","75,6","394132,17"
Tesouro Selic,07/03/2017,30/07/2012,"5296,589601","135,6","718217,54"
